[1] aah aha
[2] aal ala
[3] aba baa
[4] aby bay
[5] act cat
[6] ad da
[7] add dad
[8] aft fat
[9] age gae
[10] ah ha
[11] aim ami
[12] ain ani
[13] alb lab
[14] bal lab
[15] alp lap
[16] lap pal
[17] alt lat
[18] am ma
[19] amp map
[20] map pam
[21] an na
[22] ane nae
[23] any nay
[24] apt pat
[25] pat tap
[26] are era
[27] ear era
[28] arm ram
[29] mar ram
[30] ars ras
[31] art rat
[32] rat tar
[33] asp sap
[34] pas sap
[35] sap spa
[36] at ta
[37] ate eta
[38] ate tae
[39] eat eta
[40] eat tae
[41] eta tea
[42] tae tea
[43] avo ova
[44] awe wae
[45] awn wan
[46] ay ya
[47] bad dab
[48] bag gab
[49] ban nab
[50] bar bra
[51] bas sab
[52] bat tab
[53] bed deb
[54] ben neb
[55] bey bye
[56] bid dib
[57] big gib
[58] bin nib
[59] bis sib
[60] bog gob
[61] bos sob
[62] bud dub
[63] bun nub
[64] bur rub
[65] bus sub
[66] but tub
[67] cam mac
[68] cap pac
[69] cod doc
[70] cud duc
[71] dag gad
[72] dah had
[73] dam mad
[74] dap pad
[75] daw wad
[76] dei die
[77] del led
[78] eld led
[79] dew wed
[80] dey dye
[81] dig gid
[82] dim mid
[83] do od
[84] doe ode
[85] dog god
[86] dom mod
[87] don nod
[88] dor rod
[89] dos ods
[90] dos sod
[91] dot tod
[92] duo oud
[93] duo udo
[94] dup pud
[95] eel lee
[96] eft fet
[97] eh he
[98] elk lek
[99] em me
[100] er re
[101] ere ree
[102] ers res
[103] res ser
[104] eve vee
[105] ewe wee
[106] fer ref
[107] for fro
[108] gal lag
[109] gam mag
[110] gan nag
[111] gar rag
[112] gas sag
[113] gat tag
[114] gel leg
[115] get teg
[116] gip pig
[117] gnu gun
[118] got tog
[119] gul lug
[120] gum mug
[121] gut tug
[122] hap pah
[123] hay yah
[124] hey yeh
[125] ho oh
[126] hop poh
[127] is si
[128] ism sim
[129] mis sim
[130] it ti
[131] its tis
[132] sit tis
[133] jar raj
[134] kae kea
[135] kay yak
[136] koa oka
[137] oak oka
[138] kue uke
[139] las sal
[140] lei lie
[141] ley lye
[142] lin nil
[143] lit til
[144] lop pol
[145] mat tam
[146] may yam
[147] mho ohm
[148] mir rim
[149] mon nom
[150] mot tom
[151] mus sum
[152] nap pan
[153] net ten
[154] new wen
[155] nip pin
[156] nit tin
[157] no on
[158] nos ons
[159] nos son
[160] not ton
[161] now won
[162] own won
[163] nu un
[164] nus sun
[165] nus uns
[166] nut tun
[167] oar ora
[168] oat tao
[169] oes ose
[170] oho ooh
[171] oot too
[172] opt pot
[173] pot top
[174] orb rob
[175] orc roc
[176] ore roe
[177] ort rot
[178] rot tor
[179] os so
[180] ow wo
[181] owe woe
[182] par rap
[183] paw wap
[184] pay pya
[185] pay yap
[186] per rep
[187] pis psi
[188] pis sip
[189] pit tip
[190] pow wop
[191] pus sup
[192] pus ups
[193] put tup
[194] raw war
[195] ray rya
[196] ray yar
[197] run urn
[198] sae sea
[199] sat tas
[200] saw was
[201] sir sri
[202] six xis
[203] sow wos
[204] sue use
[205] tav vat
[206] taw twa
[207] taw wat
[208] tew wet
[209] tow two
[210] tow wot
[211] way yaw
[212] aals alas
[213] abas baas
[214] abbe babe
[215] bate beta
[216] beat beta
[217] able bale
[218] bale blae
[219] tabu tuba
[220] abys bays
[221] cade dace
[222] acid caid
[223] cadi caid
[224] acme came
[225] came mace
[226] acne cane
[227] acre care
[228] care race
[229] acts cats
[230] cast cats
[231] adds dads
[232] adze daze
[233] aged egad
[234] aged gaed
[235] ages gaes
[236] agin gain
[237] ahem haem
[238] haem hame
[239] dais said
[240] sadi said
[241] sail sial
[242] aims amis
[243] aims sima
[244] ains anis
[245] rain rani
[246] akin kain
[247] alan anal
[248] albs labs
[249] bals labs
[250] alef flea
[251] feal leaf
[252] lase sale
[253] leas seal
[254] lati tali
[255] tail tali
[256] alma lama
[257] alme lame
[258] lame male
[259] alms lams
[260] alow awol
[261] alps laps
[262] laps pals
[263] pals salp
[264] salp slap
[265] lota tola
[266] alts lats
[267] last lats
[268] last salt
[269] salt slat
[270] mane name
[271] name nema
[272] amid maid
[273] amin main
[274] amir mair
[275] amps maps
[276] maps pams
[277] pams samp
[278] anas ansa
[279] anil nail
[280] lain nail
[281] anna nana
[282] pare rape
[283] pear reap
[284] apes apse
[285] apse pase
[286] apse spae
[287] arco orca
[288] ares arse
[289] ares eras
[290] arse rase
[291] ears eras
[292] sear sera
[293] aria raia
[294] arid raid
[295] aril rail
[296] lair liar
[297] lair rail
[298] liar lira
[299] liar rial
[300] rail rial
[301] arms rams
[302] mars rams
[303] arts rats
[304] rats tars
[305] star tsar
[306] arty tray
[307] asps saps
[308] pass saps
[309] saps spas
[310] ates etas
[311] east eats
[312] eats etas
[313] eats sate
[314] etas teas
[315] sate seta
[316] seat seta
[317] seat teas
[318] aunt tuna
[319] save vase
[320] awes waes
[321] awns wans
[322] sawn swan
[323] snaw swan
[324] awny wany
[325] awry wary
[326] axel axle
[327] ayes eyas
[328] eyas yeas
[329] bads dabs
[330] bags gabs
[331] baht bath
[332] bans nabs
[333] bard brad
[334] bard darb
[335] brad drab
[336] darb drab
[337] bare brae
[338] bear brae
[339] barn bran
[340] bars bras
[341] base sabe
[342] bass sabs
[343] bast bats
[344] bats tabs
[345] baud daub
[346] beam bema
[347] beds debs
[348] been bene
[349] beer bree
[350] belt blet
[351] bens nebs
[352] best bets
[353] beys byes
[354] bibs sibb
[355] bids dibs
[356] bike kibe
[357] bins nibs
[358] blot bolt
[359] boar bora
[360] body doby
[361] bogs gobs
[362] bogy goby
[363] bole lobe
[364] bolo lobo
[365] boor broo
