Anagrams Word List
Generated by José Delpino, using Python

[1] aa : ['aa']
[2] aaaaabbcdrr : ['abracadabra']
[3] aaaabcceeloprsttu : ['postbaccalaureate']
[4] aaaabcceelrstu : ['baccalaureates']
[5] aaaabcceelrtu : ['baccalaureate']
[6] aaaabdilmorss : ['ambassadorial']
[7] aaaabenn : ['anabaena']
[8] aaaabenns : ['anabaenas']
[9] aaaaccdiiklllsy : ['lackadaisically']
[10] aaaaccdiiklls : ['lackadaisical']
[11] aaaaccrr : ['caracara']
[12] aaaaccrrs : ['caracaras']
[13] aaaacgnr : ['caragana']
[14] aaaacgnrs : ['caraganas']
[15] aaaacmnrst : ['catamarans']
[16] aaaacmnrt : ['catamaran']
[17] aaaacnrs : ['anasarca']
[18] aaaacnrss : ['anasarcas']
[19] aaaadeglmmt : ['amalgamated']
[20] aaaadmstv : ['amadavats']
[21] aaaadmtv : ['amadavat']
[22] aaaaeglmmst : ['amalgamates']
[23] aaaaeglmmt : ['amalgamate']
[24] aaaaegnrstvxz : ['extravaganzas']
[25] aaaaegnrtvxz : ['extravaganza']
[26] aaaaehilnpprr : ['paraphernalia']
[27] aaaaehmntt : ['anathemata']
[28] aaaaeiilmnnprrst : ['parliamentarians']
[29] aaaaeiilmnnprrt : ['parliamentarian']
[30] aaaaelmmnt : ['analemmata']
[31] aaaaggilmmnt : ['amalgamating']
[32] aaaagilmmnost : ['amalgamations']
[33] aaaagilmmnot : ['amalgamation']
[34] aaaahiiinnorrtttu : ['antiauthoritarian']
[35] aaaahjmr : ['maharaja']
[36] aaaahjmrs : ['maharajas']
[37] aaaaiiilnnortttt : ['antitotalitarian']
[38] aaaaikmn : ['kamaaina']
[39] aaaaikmns : ['kamaainas']
[40] aaaaillprrss : ['sarsaparilla']
[41] aaaaillprrsss : ['sarsaparillas']
[42] aaaaimpr : ['arapaima']
[43] aaaaimprs : ['arapaimas']
[44] aaaairstx : ['ataraxias']
[45] aaaairtx : ['ataraxia']
[46] aaaakknst : ['katakanas']
[47] aaaakknt : ['katakana']
[48] aaaallsvv : ['lavalavas']
[49] aaaallvv : ['lavalava']
[50] aaaalsty : ['atalayas']
[51] aaaalty : ['atalaya']
[52] aaabbchl : ['cabbalah']
[53] aaabbchls : ['cabbalahs']
[54] aaabbcl : ['cabbala']
[55] aaabbcls : ['cabbalas']
[56] aaabbelt : ['abatable']
[57] aaabbhkl : ['kabbalah']
[58] aaabbhkls : ['kabbalahs']
[59] aaabbilt : ['abbatial']
[60] aaabbinrr : ['barbarian']
[61] aaabbinrrs : ['barbarians']
[62] aaabbkl : ['kabbala']
[63] aaabbkls : ['kabbalas']
[64] aaabc : ['abaca']
[65] aaabcceiinrrttuu : ['antibureaucratic']
[66] aaabccmsw : ['maccabaws']
[67] aaabccmw : ['maccabaw']
[68] aaabccr : ['baccara']
[69] aaabccrs : ['baccaras']
[70] aaabccrst : ['baccarats']
[71] aaabccrt : ['baccarat']
[72] aaabcdelnr : ['candelabra']
[73] aaabcdelnrs : ['candelabras']
[74] aaabcdrrsu : ['barracudas']
[75] aaabcdrru : ['barracuda']
[76] aaabceeilnrst : ['ascertainable']
[77] aaabcegilllry : ['algebraically']
[78] aaabcehilllpty : ['alphabetically']
[79] aaabcehillpt : ['alphabetical']
[80] aaabcehilnoppr : ['inapproachable']
[81] aaabcehloppr : ['approachable']
[82] aaabcehlss : ['calabashes']
[83] aaabceiilnrtt : ['antibacterial']
[84] aaabcghiilooprtu : ['autobiographical']
[85] aaabchls : ['calabash']
[86] aaabcint : ['anabatic']
[87] aaabcl : ['cabala']
[88] aaabcls : ['cabalas']
[89] aaabcn : ['cabana']
[90] aaabcnrr : ['barranca']
[91] aaabcnrrs : ['barrancas']
[92] aaabcnrsu : ['carnaubas']
[93] aaabcnru : ['carnauba']
[94] aaabcns : ['cabanas']
[95] aaabcor : ['carabao']
[96] aaabcors : ['carabaos']
[97] aaabcprsy : ['capybaras']
[98] aaabcpry : ['capybara']
[99] aaabcs : ['abacas', 'casaba']
[100] aaabcss : ['casabas', 'cassaba']
[101] aaabcsss : ['cassabas']
[102] aaabdehh : ['dahabeah']
[103] aaabdehhs : ['dahabeahs']
[104] aaabdeiiilpstt : ['adaptabilities']
[105] aaabdelpt : ['adaptable']
[106] aaabdfr : ['abfarad']
[107] aaabdfrs : ['abfarads']
[108] aaabdhhi : ['dahabiah']
[109] aaabdhhis : ['dahabiahs']
[110] aaabdhhl : ['habdalah']
[111] aaabdhhls : ['habdalahs']
[112] aaabdhimoprsss : ['ambassadorship']
[113] aaabdhimoprssss : ['ambassadorships']
[114] aaabdhisy : ['dahabiyas']
[115] aaabdhiy : ['dahabiya']
[116] aaabdiilptty : ['adaptability']
[117] aaabdikr : ['baidarka']
[118] aaabdikrs : ['baidarkas']
[119] aaabdmorss : ['ambassador']
[120] aaabdmorsss : ['ambassadors']
[121] aaabdnn : ['bandana']
[122] aaabdnnn : ['bandanna']
[123] aaabdnnns : ['bandannas']
[124] aaabdnns : ['bandanas']
[125] aaabdnrs : ['saraband']
[126] aaabdnrss : ['sarabands']
[127] aaabdnrst : ['abradants']
[128] aaabdnrt : ['abradant']
[129] aaabeeeeglmnnsss : ['manageablenesses']
[130] aaabeeeglmnnss : ['manageableness']
[131] aaabeegiiilmnst : ['manageabilities']
[132] aaabeegilmrr : ['marriageable']
[133] aaabeeglmn : ['manageable']
[134] aaabeeglmnnu : ['unmanageable']
[135] aaabeelmottu : ['automateable']
[136] aaabegiilmnty : ['manageability']
[137] aaabeglmny : ['manageably']
[138] aaabehnr : ['habanera']
[139] aaabehnrs : ['habaneras']
[140] aaabehrst : ['baratheas']
[141] aaabehrt : ['barathea']
[142] aaabeiiiiilmnnstt : ['maintainabilities']
[143] aaabeiiiillstv : ['availabilities']
[144] aaabeiiiilnsttt : ['attainabilities']
[145] aaabeiilmnnt : ['maintainable']
[146] aaabeillnuv : ['unavailable']
[147] aaabeillss : ['assailable']
[148] aaabeillv : ['available']
[149] aaabeilntt : ['attainable']
[150] aaabellnrstt : ['translatable']
[151] aaabellnyz : ['analyzable']
[152] aaabellpt : ['palatable']
[153] aaabelmstt : ['blastemata']
[154] aaabelrsst : ['alabasters']
[155] aaabelrst : ['alabaster']
[156] aaabenss : ['anabases']
[157] aaabfll : ['falbala']
[158] aaabflls : ['falbalas']
[159] aaabglor : ['algaroba']
[160] aaabglors : ['algarobas']
[161] aaabgrstu : ['rutabagas']
[162] aaabgrtu : ['rutabaga']
[163] aaabhmsst : ['mastabahs']
[164] aaabhmst : ['mastabah']
[165] aaabiiiilmnntty : ['maintainability']
[166] aaabiiilltvy : ['availability']
[167] aaabiiilnttty : ['attainability']
[168] aaabilstt : ['battalias']
[169] aaabiltt : ['battalia']
[170] aaabilx : ['abaxial']
[171] aaabinss : ['anabasis']
[172] aaabips : ['piasaba']
[173] aaabipss : ['piasabas', 'piassaba']
[174] aaabipsss : ['piassabas']
[175] aaabk : ['abaka']
[176] aaabkk : ['kabaka']
[177] aaabkks : ['kabakas']
[178] aaabkl : ['kabala']
[179] aaabkls : ['kabalas']
[180] aaabklsv : ['baklavas']
[181] aaabklsw : ['baklawas']
[182] aaabklv : ['baklava']
[183] aaabklw : ['baklawa']
[184] aaabks : ['abakas']
[185] aaabksy : ['kabayas']
[186] aaabky : ['kabaya']
[187] aaablmos : ['abomasal']
[188] aaablmostt : ['blastomata']
[189] aaablmst : ['tambalas']
[190] aaablmt : ['tambala']
[191] aaablopr : ['parabola']
[192] aaabloprs : ['parabolas']
[193] aaablpr : ['palabra']
[194] aaablprs : ['palabras']
[195] aaablr : ['labara']
[196] aaablst : ['albatas', 'atabals', 'balatas']
[197] aaablt : ['albata', 'atabal', 'balata']
[198] aaabmos : ['abomasa']
[199] aaabmsst : ['mastabas']
[200] aaabmst : ['mastaba']
[201] aaabnn : ['banana']
[202] aaabnns : ['bananas']
[203] aaabns : ['anabas']
[204] aaaborr : ['araroba']
[205] aaaborrs : ['ararobas']
[206] aaabrsz : ['bazaars']
[207] aaabrz : ['bazaar']
[208] aaacccehiillrrstty : ['characteristically']
[209] aaaccceinpst : ['capacitances']
[210] aaaccceinpt : ['capacitance']
[211] aaaccdeiimnt : ['antiacademic']
[212] aaaccdeiinptt : ['incapacitated']
[213] aaaccdeillmy : ['academically']
[214] aaaccdelsv : ['cavalcades']
[215] aaaccdelv : ['cavalcade']
[216] aaaccdilorrsuv : ['cardiovascular']
[217] aaacceghilloor : ['archaeological']
[218] aaaccegilrttx : ['extragalactic']
[219] aaaccehiinnpqsstu : ['acquaintanceships']
[220] aaaccehiinnpqstu : ['acquaintanceship']
[221] aaaccehiinorrsttz : ['characterizations']
[222] aaaccehiinorrttz : ['characterization']
[223] aaaccehilmprstu : ['pharmaceuticals']
[224] aaaccehilmprtu : ['pharmaceutical']
[225] aaacceiinpstt : ['incapacitates']
[226] aaacceiinptt : ['incapacitate']
[227] aaacceinnqstu : ['acquaintances']
[228] aaacceinnqtu : ['acquaintance']
[229] aaacceln : ['calcanea']
[230] aaaccepr : ['carapace']
[231] aaacceprs : ['carapaces']
[232] aaaccghillmoopr : ['pharmacological']
[233] aaaccgiiinnptt : ['incapacitating']
[234] aaacchiinnrt : ['antianarchic']
[235] aaacchilloprstty : ['catastrophically']
[236] aaacchillry : ['archaically']
[237] aaacchilnpty : ['anaphylactic']
[238] aaacci : ['acacia']
[239] aaacciiiilnpsttt : ['anticapitalistic']
[240] aaacciiilllpstty : ['capitalistically']
[241] aaacciiilmnosttz : ['acclimatizations']
[242] aaacciiilmnottz : ['acclimatization']
